common_name	scientific_name
Alder Flycatcher	Empidonax alnorum
American Crow	Corvus brachyrhynchos
American Goldfinch	Spinus tristis
American Pipit	Anthus rubescens
American Redstart	Setophaga ruticilla
American Robin	Turdus migratorius
American Tree Sparrow	Spizella arborea
American Three-toed Woodpecker	Picoides dorsalis
Bank Swallow	Riparia riparia
Baltimore Oriole	Icterus galbula
Barn Swallow	Hirundo rustica
Black-and-white Warbler	Mniotilta varia
Black-billed Cuckoo	Coccyzus erythropthalmus
Black-billed Magpie	Pica hudsonia
Bay-breasted Warbler	Setophaga castanea
Black-backed Woodpecker	Picoides arcticus
Black-capped Chickadee	Poecile atricapillus
Belted Kingfisher	Megaceryle alcyon
Blue-gray Gnatcatcher	Polioptila caerulea
Brown-headed Cowbird	Molothrus ater
Blue-headed Vireo	Vireo solitarius
Blackburnian Warbler	Setophaga fusca
Blue Jay	Cyanocitta cristata
Blackpoll Warbler	Setophaga striata
Bobolink	Dolichonyx oryzivorus
Boreal Chickadee	Poecile hudsonicus
Bohemian Waxwing	Bombycilla garrulus
Brewer's Blackbird	Euphagus cyanocephalus
Brown Creeper	Certhia americana
Brown Thrasher	Toxostoma rufum
Black-throated Blue Warbler	Setophaga caerulescens
Black-throated Green Warbler	Setophaga virens
Canada Warbler	Cardellina canadensis
Clay-colored Sparrow	Spizella pallida
Cedar Waxwing	Bombycilla cedrorum
Chipping Sparrow	Spizella passerina
Cliff Swallow	Petrochelidon pyrrhonota
Cape May Warbler	Setophaga tigrina
Common Grackle	Quiscalus quiscula
Connecticut Warbler	Oporornis agilis
Common Raven	Corvus corax
Common Yellowthroat	Geothlypis trichas
Chestnut-sided Warbler	Setophaga pensylvanica
Dark-eyed Junco	Junco hyemalis
Downy Woodpecker	Picoides pubescens
Dusky Flycatcher	Empidonax oberholseri
Eastern Bluebird	Sialia sialis
Eastern Kingbird	Tyrannus tyrannus
Eastern Phoebe	Sayornis phoebe
Eastern Towhee	Pipilo erythrophthalmus
Eastern Wood-Pewee	Contopus virens
European Starling	Sturnus vulgaris
Evening Grosbeak	Coccothraustes vespertinus
Field Sparrow	Spizella pusilla
Fox Sparrow	Passerella iliaca
Great Crested Flycatcher	Myiarchus crinitus
Golden-crowned Kinglet	Regulus satrapa
Golden-crowned Sparrow	Zonotrichia atricapilla
Gray-cheeked Thrush	Catharus minimus
Gray Jay	Perisoreus canadensis
Gray Catbird	Dumetella carolinensis
Grasshopper Sparrow	Ammodramus savannarum
Greater Yellowlegs	Tringa melanoleuca
Golden-winged Warbler	Vermivora chrysoptera
Hammond's Flycatcher	Empidonax hammondii
Hairy Woodpecker	Picoides villosus
Hermit Thrush	Catharus guttatus
Horned Lark	Eremophila alpestris
House Sparrow	Passer domesticus
House Wren	Troglodytes aedon
Indigo Bunting	Passerina cyanea
Killdeer	Charadrius vociferus
Lapland Longspur	Calcarius lapponicus
Le Conte's Sparrow	Ammodramus leconteii
Least Flycatcher	Empidonax minimus
Lesser Yellowlegs	Tringa flavipes
Lincoln's Sparrow	Melospiza lincolnii
Magnolia Warbler	Setophaga magnolia
Marsh Wren	Cistothorus palustris
Mountain Bluebird	Sialia currucoides
Mourning Dove	Zenaida macroura
Mourning Warbler	Geothlypis philadelphia
Nashville Warbler	Oreothlypis ruficapilla
Nelson's Sparrow	Ammodramus nelsoni
Northern Cardinal	Cardinalis cardinalis
Northern Flicker	Colaptes auratus
Northern Parula	Setophaga americana
Northern Waterthrush	Parkesia noveboracensis
Orange-crowned Warbler	Oreothlypis celata
Olive-sided Flycatcher	Contopus cooperi
Ovenbird	Seiurus aurocapilla
Palm Warbler	Setophaga palmarum
Philadelphia Vireo	Vireo philadelphicus
Pine Grosbeak	Pinicola enucleator
Pine Siskin	Spinus pinus
Pine Warbler	Setophaga pinus
Pileated Woodpecker	Dryocopus pileatus
Purple Finch	Carpodacus purpureus
Rose-breasted Grosbeak	Pheucticus ludovicianus
Red-breasted Nuthatch	Sitta canadensis
Ruby-crowned Kinglet	Regulus calendula
Red Crossbill	Loxia curvirostra
Red-eyed Vireo	Vireo olivaceus
Rock Pigeon	Columba livia
Ruby-throated Hummingbird	Archilochus colubris
Rusty Blackbird	Euphagus carolinus
Ruffed Grouse	Bonasa umbellus
Red-winged Blackbird	Agelaius phoeniceus
Savannah Sparrow	Passerculus sandwichensis
Scarlet Tanager	Piranga olivacea
Sedge Wren	Cistothorus platensis
Sooty Grouse	Dendragapus fuliginosus
Solitary Sandpiper	Tringa solitaria
Song Sparrow	Melospiza melodia
Spotted Sandpiper	Actitis macularius
Swamp Sparrow	Melospiza georgiana
Swainson's Thrush	Catharus ustulatus
Tennessee Warbler	Oreothlypis peregrina
Townsend's Solitaire	Myadestes townsendi
Townsend's Warbler	Setophaga townsendi
Tree Swallow	Tachycineta bicolor
Upland Sandpiper	Bartramia longicauda
Varied Thrush	Ixoreus naevius
Veery	Catharus fuscescens
Vesper Sparrow	Pooecetes gramineus
Warbling Vireo	Vireo gilvus
White-breasted Nuthatch	Sitta carolinensis
White-crowned Sparrow	Zonotrichia leucophrys
Western Tanager	Piranga ludoviciana
Western Wood-Pewee	Contopus sordidulus
Willow Ptarmigan	Lagopus lagopus
Wilson's Snipe	Gallinago delicata
Wilson's Warbler	Cardellina pusilla
Winter Wren	Troglodytes hiemalis
Wood Thrush	Hylocichla mustelina
White-throated Sparrow	Zonotrichia albicollis
White-winged Crossbill	Loxia leucoptera
Yellow-bellied Flycatcher	Empidonax flaviventris
Yellow-bellied Sapsucker	Sphyrapicus varius
Yellow Warbler	Setophaga petechia
Yellow-headed Blackbird	Xanthocephalus xanthocephalus
Yellow-rumped Warbler	Setophaga coronata
Yellow-throated Vireo	Vireo flavifrons
